Id,AccountId,ContactId,Roles,IsDirect,IsActive,StartDate,EndDate,IsDeleted,CreatedDate,LastModifiedDate,SystemModstamp,HealthCloudGA__PrimaryGroup__c,HealthCloudGA__Primary__c,HealthCloudGA__Rollups__c,Account.Name,Contact.Name,$$AccountId$ContactId
07k5e000000zAbBAAU,0015e00000EsKmyAAF,0035e00000CZzMWAA1,Son,false,true,2020-07-25,,false,2021-07-29T21:03:12.000+0000,2021-07-29T21:03:12.000+0000,2021-07-29T21:03:12.000+0000,false,false,,Charles Green Household,Ben Green,0015e00000EsKmyAAF;0035e00000CZzMWAA1
07k5e000000zC8xAAE,0015e00000EsKmeAAF,0035e00000CZzM5AAL,,true,true,2021-07-29,,false,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,false,false,,Shawna Green,Shawna Green,0015e00000EsKmeAAF;0035e00000CZzM5AAL
07k5e000000zC8yAAE,0015e00000EsKmfAAF,0035e00000CZzM6AAL,,true,true,2021-07-29,,false,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,false,false,,David Morrison,David Morrison,0015e00000EsKmfAAF;0035e00000CZzM6AAL
07k5e000000zC8zAAE,0015e00000EsKmgAAF,0035e00000CZzM7AAL,,true,true,2021-07-29,,false,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,false,false,,Jane Hamilton,Jane Hamilton,0015e00000EsKmgAAF;0035e00000CZzM7AAL
07k5e000000zC90AAE,0015e00000EsKmhAAF,0035e00000CZzM8AAL,,true,true,2021-07-29,,false,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,false,false,,Janet Campbell,Janet Campbell,0015e00000EsKmhAAF;0035e00000CZzM8AAL
07k5e000000zC91AAE,0015e00000EsKmiAAF,0035e00000CZzM9AAL,,true,true,2021-07-29,,false,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,2021-07-29T20:51:12.000+0000,false,false,,Charles Green,Charles Green,0015e00000EsKmiAAF;0035e00000CZzM9AAL
07k5e000000zC92AAE,0015e00000EsKmjAAF,0035e00000CZzMWAA1,,true,true,2021-07-29,,false,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,false,false,,Ben Green,Ben Green,0015e00000EsKmjAAF;0035e00000CZzMWAA1
07k5e000000zC93AAE,0015e00000EsKmkAAF,0035e00000CZzMXAA1,,true,true,2021-07-29,,false,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,false,false,,One Medical Group Inc,"John Smith, MD",0015e00000EsKmkAAF;0035e00000CZzMXAA1
07k5e000000zC94AAE,0015e00000EsKmlAAF,0035e00000CZzMYAA1,,true,true,2021-07-29,,false,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,false,false,,Ohana Health System,Michael White,0015e00000EsKmlAAF;0035e00000CZzMYAA1
07k5e000000zC95AAE,0015e00000EsKmmAAF,0035e00000CZzMZAA1,,true,true,2021-07-29,,false,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,false,false,,Charles Manning,Charles Manning,0015e00000EsKmmAAF;0035e00000CZzMZAA1
07k5e000000zC96AAE,0015e00000EsKmnAAF,0035e00000CZzMaAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,2021-07-29T20:51:13.000+0000,false,false,,George Michael,George Michael,0015e00000EsKmnAAF;0035e00000CZzMaAAL
07k5e000000zC97AAE,0015e00000EsKmlAAF,0035e00000CZzMbAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,false,false,,Ohana Health System,Marla Kissinger,0015e00000EsKmlAAF;0035e00000CZzMbAAL
07k5e000000zC98AAE,0015e00000EsKmoAAF,0035e00000CZzMcAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,false,false,,Cara Owens,Cara Owens,0015e00000EsKmoAAF;0035e00000CZzMcAAL
07k5e000000zC99AAE,0015e00000EsKmmAAF,0035e00000CZzMdAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,false,false,,Charles Manning,Charles Manning,0015e00000EsKmmAAF;0035e00000CZzMdAAL
07k5e000000zC9AAAU,0015e00000EsKmkAAF,0035e00000CZzMeAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,false,false,,One Medical Group Inc,Carol Peterson,0015e00000EsKmkAAF;0035e00000CZzMeAAL
07k5e000000zC9BAAU,0015e00000EsKmkAAF,0035e00000CZzMfAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,2021-07-29T20:51:14.000+0000,false,false,,One Medical Group Inc,"Mina Patel, MD",0015e00000EsKmkAAF;0035e00000CZzMfAAL
07k5e000000zC9CAAU,0015e00000EsKmlAAF,0035e00000CZzMgAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,false,false,,Ohana Health System,"Tony Secemsky, MD",0015e00000EsKmlAAF;0035e00000CZzMgAAL
07k5e000000zC9DAAU,0015e00000EsKmlAAF,0035e00000CZzMhAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,false,false,,Ohana Health System,Michael Grossman,0015e00000EsKmlAAF;0035e00000CZzMhAAL
07k5e000000zC9EAAU,0015e00000EsKmqAAF,0035e00000CZzMiAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,false,false,,Bob Smith,Bob Smith,0015e00000EsKmqAAF;0035e00000CZzMiAAL
07k5e000000zC9FAAU,0015e00000EsKmrAAF,0035e00000CZzMjAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,false,false,,Florence Canna,Florence Canna,0015e00000EsKmrAAF;0035e00000CZzMjAAL
07k5e000000zC9GAAU,0015e00000EsKmsAAF,0035e00000CZzMkAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,2021-07-29T20:51:16.000+0000,false,false,,Sarah Loehr,Sarah Loehr,0015e00000EsKmsAAF;0035e00000CZzMkAAL
07k5e000000zC9HAAU,0015e00000EsKmxAAF,0035e00000CZzMlAAL,,true,true,2021-07-29,,false,2021-07-29T20:51:17.000+0000,2021-07-29T20:51:17.000+0000,2021-07-29T20:51:17.000+0000,false,false,,Makana Clinic*,Amy Huffman,0015e00000EsKmxAAF;0035e00000CZzMlAAL
07k5e000000zGfZAAU,0015e00000EsKmyAAF,0035e00000CZzM9AAL,Patient,false,true,2020-07-25,,false,2021-07-29T21:03:09.000+0000,2021-07-29T21:03:09.000+0000,2021-07-29T21:03:09.000+0000,false,true,,Charles Green Household,Charles Green,0015e00000EsKmyAAF;0035e00000CZzM9AAL
07k5e000000zGfeAAE,0015e00000EsKmyAAF,0035e00000CZzM5AAL,Spouse,false,true,2020-07-25,,false,2021-07-29T21:03:10.000+0000,2021-07-29T21:03:10.000+0000,2021-07-29T21:03:10.000+0000,false,false,,Charles Green Household,Shawna Green,0015e00000EsKmyAAF;0035e00000CZzM5AAL
07k5e000000zGfoAAE,0015e00000EsKmzAAF,0035e00000CZzM9AAL,Transportation,false,true,2020-07-25,,false,2021-07-29T21:03:12.000+0000,2021-07-29T21:03:12.000+0000,2021-07-29T21:03:12.000+0000,false,false,,Uber,Charles Green,0015e00000EsKmzAAF;0035e00000CZzM9AAL
